,0,1,2,3,4,5,6,7,8,9,10,11
0,164.710235595703,135.5897216796875,254.0,458.0,284.0,170.0,133.0,109.0,98.7,89.19384002685547,86.1591415405273,104.121871948242
1,73.8,229.0,387.0,254.0,581.0,267.0,291.0,127.94099426269531,156.598587036133,88.13845825195312,165.507186889648,94.21440887451172
2,327.0,465.0,265.0,437.0,303.0,292.0,221.0,233.0,116.0,102.0,109.08039093017578,171.614349365234
3,87.0,185.0,202.0,499.0,398.0,486.0,323.0,347.0,121.0,183.0,200.06979370117188,156.411224365234
4,192.0,218.0,665.0,307.0,522.0,207.0,143.0,168.0,141.0,907.9985961914062,920.997680664062,418.0
5,323.0,126.0,314.0,420.6896667480469,289.638488769531,206.0,195.0,154.0,86.7,71.8,66.8,68.1
6,74.0,161.0,174.0,275.0,180.0,154.0,137.0,93.7,57.2,50.0,75.31173706054688,45.7695350646973
7,76.3723678588867,134.8706512451172,97.2,203.0,331.6458740234375,298.744995117188,207.0,104.0,85.4,96.1,67.4,82.1
8,178.45100402832,214.950332641602,472.5071105957031,432.0,469.0,364.0,277.0,216.056640625,188.646987915039,49.2,64.4,81.5
9,79.51820373535156,126.0,194.90948486328125,240.382263183594,185.0,129.0,117.2857894897461,64.4545211791992,43.5,38.190696716308594,42.4098815917969,32.9
10,73.8,143.0,93.0,154.67356872558594,332.607482910156,241.62757873535156,192.995864868164,57.0,37.2,38.8,42.7,69.8
11,67.9,115.0,295.0,479.0,271.0,303.0,117.0,55.5,69.6,55.0,50.92283248901367,55.880687713623
12,122.7158432006836,126.689453125,204.0,222.0,286.0,187.0,118.0,98.7,154.0,98.1,92.64993286132812,119.302604675293
13,76.0,118.0,170.0,146.0,187.150146484375,178.171859741211,130.726119995117,77.27294921875,45.4,57.1,88.0,85.0
14,75.5,48.7,92.8,104.0,290.0,186.2999725341797,206.636978149414,210.0,85.9,136.0,125.03606414794922,167.336120605469
15,73.7,96.8,132.0,210.0,129.0,172.0,154.91876220703125,110.979614257812,56.7,94.1,151.0,88.0
16,67.7,62.3,186.0,395.0,206.0,100.0,68.3,68.5,122.0,143.00637817382812,83.7834701538086,175.0
17,155.0,128.0,172.0,294.0,214.0,244.0,107.0,61.4,65.9,77.0,70.9,90.2
18,106.0,160.0,167.0,209.0,342.0,280.0302429199219,310.403503417969,85.8,122.0,100.0,131.0,216.0
19,98.47917175292969,266.537841796875,174.0,303.0,336.0,132.0,103.0,87.0,222.0,164.0,99.1,224.0
20,182.0,133.0,277.473388671875,286.851745605469,256.243469238281,179.77255249023438,196.345169067383,172.34877014160156,225.0,229.0,135.0,173.0
21,121.47103881835938,137.414245605469,156.0,331.0,291.0,526.0,265.13616943359375,252.562805175781,166.0,259.0,278.0,124.0
22,147.0,232.0,496.0,315.34088134765625,440.374633789062,312.601165771484,312.8782043457031,137.467407226562,188.92709350585938,908.0,921.0,137.0
23,105.0,257.0,388.0,431.3072509765625,272.880249023438,92.5,137.18150329589844,126.636322021484,90.9,49.7,45.9,47.0
24,57.9,111.01405334472656,169.16943359375,255.0,188.0,136.0,163.13368225097656,181.886077880859,263.0,183.0,166.0,135.0
25,127.4118423461914,194.828140258789,233.0,154.0,124.0,444.5780029296875,160.313674926758,241.0,129.0,154.0,215.311767578125,242.277465820312
26,210.0,111.0,166.0,255.0,186.0,85.0,160.85975646972656,108.851341247559,53.7,132.9297637939453,97.2516632080078,150.35466003418
27,91.7,194.0,343.0,499.0,249.0,181.0,103.0,155.0,193.6775360107422,149.779266357422,177.0,188.81900024414062
28,154.385665893555,214.6274871826172,437.0,637.0,531.0,286.0,368.0,376.0,205.0,122.0,107.0,172.0
29,121.07843017578125,201.171020507812,351.841674804688,351.79071044921875,336.0,469.0,244.0,216.0,210.0,89.78085327148438,114.497268676758,92.0
30,148.0,269.0,296.0,167.0,199.0,189.0,94.5,87.9,169.0,159.0,226.0,200.0
31,118.0,140.0,368.0,430.0,316.0,199.0,145.0,121.0,108.48760223388672,117.497116088867,93.1,212.0
32,105.979095458984,157.56185913085938,303.0,277.0,147.0,152.0,145.0,108.0,63.4,74.4,139.0,112.0
33,348.0,464.9984436035156,415.001586914062,334.0,318.0,343.0,357.0,219.0,134.0,118.0,120.0,292.0
34,182.0,161.0,201.0,236.0,183.41336059570312,159.539474487305,166.0,121.0,58.2,38.7,37.1,53.3
35,46.2,48.8,107.0,237.90957641601562,260.072875976562,225.0,75.8,45.7,31.4,34.5,46.1,44.7
36,46.2,62.7,180.0,393.40899658203125,226.037384033203,172.0,99.1,94.96063232421875,69.5667343139648,113.0,79.6,67.9
37,90.5394058227539,133.903671264648,199.9044189453125,223.286041259766,201.0,138.0,173.0,118.0,81.1,83.7,81.7,120.0
